timestamp,PECalama,PEValleDeLosVientos,PFVAzabache,PFVJama,PFVSanPedro,PFVUsya
2024-01-01 00:00:00,23.704,19.105,0.000,0.000,0.000,0.000
2024-01-01 00:01:00,22.558,19.757,0.000,0.000,0.000,0.000
2024-01-01 00:02:00,19.065,21.238,0.000,0.000,0.000,0.000
2024-01-01 00:03:00,21.888,17.910,0.000,0.000,0.000,0.000
2024-01-01 00:04:00,24.943,15.513,0.000,0.000,0.000,0.000
2024-01-01 00:05:00,21.152,20.290,0.000,0.000,0.000,0.000
2024-01-01 00:06:00,21.866,19.691,0.000,0.000,0.000,0.000
2024-01-01 00:07:00,23.049,19.254,0.000,0.000,0.000,0.000
2024-01-01 00:08:00,22.252,17.723,0.000,0.000,0.000,0.000
2024-01-01 00:09:00,21.676,18.284,0.001,0.000,0.000,0.000
2024-01-01 00:10:00,21.258,19.545,0.001,0.000,0.000,0.000
2024-01-01 00:11:00,22.764,17.923,0.001,0.000,0.000,0.000
2024-01-01 00:12:00,23.295,18.210,0.001,0.000,0.000,0.000
2024-01-01 00:13:00,21.357,17.841,0.001,0.000,0.000,0.000
2024-01-01 00:14:00,23.750,19.187,0.001,0.000,0.000,0.000
2024-01-01 00:15:00,21.889,22.491,0.001,0.000,0.000,0.000
2024-01-01 00:16:00,23.900,20.170,0.001,0.000,0.000,0.000
2024-01-01 00:17:00,23.871,16.928,0.001,0.000,0.000,0.000
2024-01-01 00:18:00,21.283,21.921,0.001,0.000,0.000,0.000
2024-01-01 00:19:00,21.919,18.438,0.001,0.000,0.000,0.000
2024-01-01 00:20:00,22.616,18.731,0.001,0.000,0.000,0.000
2024-01-01 00:21:00,22.765,18.779,0.001,0.000,0.000,0.000
2024-01-01 00:22:00,18.823,19.118,0.001,0.000,0.000,0.000
2024-01-01 00:23:00,20.746,15.116,0.001,0.000,0.000,0.000
2024-01-01 00:24:00,20.256,21.440,0.001,0.000,0.000,0.000
2024-01-01 00:25:00,24.065,21.490,0.001,0.000,0.000,0.000
2024-01-01 00:26:00,22.042,19.714,0.001,0.000,0.000,0.000
2024-01-01 00:27:00,21.357,16.938,0.001,0.000,0.000,0.000
2024-01-01 00:28:00,21.029,19.975,0.001,0.000,0.000,0.000
2024-01-01 00:29:00,20.240,21.325,0.001,0.000,0.000,0.000
2024-01-01 00:30:00,25.744,18.478,0.001,0.000,0.000,0.000
2024-01-01 00:31:00,18.405,19.996,0.001,0.000,0.000,0.000
2024-01-01 00:32:00,19.980,15.848,0.001,0.000,0.000,0.000
2024-01-01 00:33:00,23.362,17.478,0.001,0.000,0.000,0.000
2024-01-01 00:34:00,21.532,18.938,0.001,0.000,0.000,0.000
2024-01-01 00:35:00,26.330,18.709,0.001,0.000,0.000,0.000
2024-01-01 00:36:00,25.904,22.182,0.001,0.000,0.000,0.000
2024-01-01 00:37:00,25.219,18.916,0.001,0.000,0.000,0.000
2024-01-01 00:38:00,21.741,18.456,0.001,0.000,0.000,0.000
2024-01-01 00:39:00,20.566,18.517,0.001,0.000,0.000,0.000
2024-01-01 00:40:00,25.570,21.744,0.001,0.000,0.000,0.000
2024-01-01 00:41:00,20.676,17.771,0.001,0.000,0.000,0.000
2024-01-01 00:42:00,19.000,15.998,0.001,0.000,0.000,0.000
2024-01-01 00:43:00,23.700,19.724,0.001,0.000,0.000,0.000
2024-01-01 00:44:00,23.872,19.475,0.001,0.000,0.000,0.000
2024-01-01 00:45:00,23.365,16.952,0.001,0.000,0.000,0.000
2024-01-01 00:46:00,23.066,22.721,0.001,0.000,0.000,0.000
2024-01-01 00:47:00,19.525,17.452,0.001,0.000,0.000,0.000
2024-01-01 00:48:00,20.169,17.788,0.001,0.000,0.000,0.000
2024-01-01 00:49:00,18.832,15.247,0.001,0.000,0.000,0.000
2024-01-01 00:50:00,20.277,16.468,0.001,0.000,0.000,0.000
2024-01-01 00:51:00,21.754,17.725,0.001,0.000,0.000,0.000
2024-01-01 00:52:00,19.202,19.507,0.001,0.000,0.000,0.000
2024-01-01 00:53:00,19.538,16.541,0.002,0.000,0.000,0.000
2024-01-01 00:54:00,21.009,14.784,0.002,0.000,0.000,0.000
2024-01-01 00:55:00,22.920,19.057,0.002,0.000,0.000,0.000
