timestamp,PECalama,PEValleDeLosVientos,PFVAzabache,PFVJama,PFVSanPedro,PFVUsya
2024-01-01 00:00:00,10.764,9.656,0.000,0.000,0.000,0.000
2024-01-01 00:01:00,10.940,10.497,0.000,0.000,0.000,0.000
2024-01-01 00:02:00,11.415,8.099,0.000,0.000,0.000,0.000
2024-01-01 00:03:00,11.038,9.394,0.000,0.000,0.000,0.000
2024-01-01 00:04:00,14.549,7.675,0.000,0.000,0.000,0.000
2024-01-01 00:05:00,13.447,8.634,0.000,0.000,0.000,0.000
2024-01-01 00:06:00,15.682,9.443,0.000,0.000,0.000,0.000
2024-01-01 00:07:00,11.300,9.867,0.000,0.000,0.000,0.000
2024-01-01 00:08:00,12.570,8.618,0.000,0.000,0.000,0.000
2024-01-01 00:09:00,12.120,7.738,0.000,0.000,0.000,0.000
2024-01-01 00:10:00,12.557,10.759,0.000,0.000,0.000,0.000
2024-01-01 00:11:00,12.181,8.773,0.000,0.000,0.000,0.000
2024-01-01 00:12:00,13.078,9.712,0.000,0.000,0.000,0.000
2024-01-01 00:13:00,13.371,9.832,0.000,0.000,0.000,0.000
2024-01-01 00:14:00,12.572,9.528,0.000,0.000,0.000,0.000
2024-01-01 00:15:00,13.083,9.044,0.000,0.000,0.000,0.000
2024-01-01 00:16:00,11.855,9.525,0.000,0.000,0.000,0.000
2024-01-01 00:17:00,11.656,9.409,0.000,0.000,0.000,0.000
2024-01-01 00:18:00,13.474,8.911,0.000,0.000,0.000,0.000
2024-01-01 00:19:00,13.027,9.706,0.000,0.000,0.000,0.000
2024-01-01 00:20:00,13.367,8.767,0.000,0.000,0.000,0.000
2024-01-01 00:21:00,13.780,11.595,0.000,0.000,0.000,0.000
2024-01-01 00:22:00,14.129,9.127,0.000,0.000,0.000,0.000
2024-01-01 00:23:00,12.062,8.074,0.000,0.000,0.000,0.000
2024-01-01 00:24:00,14.162,9.309,0.000,0.000,0.000,0.000
2024-01-01 00:25:00,12.317,7.768,0.000,0.000,0.000,0.000
2024-01-01 00:26:00,13.074,9.168,0.000,0.000,0.000,0.000
2024-01-01 00:27:00,12.126,9.450,0.000,0.000,0.000,0.000
2024-01-01 00:28:00,13.523,8.397,0.000,0.000,0.000,0.000
2024-01-01 00:29:00,12.153,10.125,0.000,0.000,0.000,0.000
2024-01-01 00:30:00,11.427,11.319,0.000,0.000,0.000,0.000
2024-01-01 00:31:00,13.096,9.528,0.001,0.000,0.000,0.000
2024-01-01 00:32:00,12.482,8.990,0.001,0.000,0.000,0.000
2024-01-01 00:33:00,13.050,9.972,0.001,0.000,0.000,0.000
2024-01-01 00:34:00,11.528,10.610,0.001,0.000,0.000,0.000
2024-01-01 00:35:00,13.063,9.155,0.001,0.000,0.000,0.000
2024-01-01 00:36:00,12.681,7.886,0.001,0.000,0.000,0.000
2024-01-01 00:37:00,13.225,9.341,0.001,0.000,0.000,0.000
2024-01-01 00:38:00,12.525,10.847,0.001,0.000,0.000,0.000
2024-01-01 00:39:00,13.310,10.259,0.001,0.000,0.000,0.000
2024-01-01 00:40:00,15.003,11.218,0.001,0.000,0.000,0.000
2024-01-01 00:41:00,13.353,11.060,0.001,0.000,0.000,0.000
2024-01-01 00:42:00,14.368,8.763,0.001,0.000,0.000,0.000
2024-01-01 00:43:00,12.398,9.522,0.001,0.000,0.000,0.000
2024-01-01 00:44:00,14.844,9.343,0.001,0.000,0.000,0.000
2024-01-01 00:45:00,12.741,9.474,0.001,0.000,0.000,0.000
2024-01-01 00:46:00,12.669,9.494,0.001,0.000,0.000,0.000
2024-01-01 00:47:00,13.746,10.309,0.001,0.000,0.000,0.000
2024-01-01 00:48:00,11.185,8.480,0.001,0.000,0.000,0.000
2024-01-01 00:49:00,11.196,10.653,0.001,0.000,0.000,0.000
2024-01-01 00:50:00,12.432,8.893,0.001,0.000,0.000,0.000
2024-01-01 00:51:00,11.510,7.954,0.001,0.000,0.000,0.000
2024-01-01 00:52:00,14.415,9.393,0.001,0.000,0.000,0.000
2024-01-01 00:53:00,12.248,9.198,0.001,0.000,0.000,0.000
2024-01-01 00:54:00,12.273,9.149,0.001,0.000,0.000,0.000
2024-01-01 00:55:00,11.716,10.755,0.001,0.000,0.000,0.000
2024-01-01 00:56:00,12.921,9.210,0.001,0.000,0.000,0.000
2024-01-01 00:57:00,13.747,9.330,0.001,0.000,0.000,0.000
2024-01-01 00:58:00,10.068,9.853,0.001,0.000,0.000,0.000
2024-01-01 00:59:00,13.718,8.424,0.001,0.000,0.000,0.000
2024-01-01 01:00:00,13.947,7.899,0.001,0.000,0.000,0.000
2024-01-01 01:01:00,14.564,11.325,0.001,0.000,0.000,0.000
2024-01-01 01:02:00,13.440,9.766,0.001,0.000,0.000,0.000
2024-01-01 01:03:00,12.690,9.363,0.001,0.000,0.000,0.000
2024-01-01 01:04:00,12.803,10.110,0.001,0.000,0.000,0.000
2024-01-01 01:05:00,10.801,10.618,0.001,0.000,0.000,0.000
2024-01-01 01:06:00,13.310,9.977,0.001,0.000,0.000,0.000
2024-01-01 01:07:00,11.955,10.752,0.001,0.000,0.000,0.000
2024-01-01 01:08:00,13.291,10.761,0.001,0.000,0.000,0.000
2024-01-01 01:09:00,12.552,8.167,0.001,0.000,0.000,0.000
