timestamp,Datacenter0,Datacenter1,Datacenter2,SECahuachi,SEDerivacion,SEIca
2024-01-01 00:00:00,0.000,0.000,0.000,-11.561,-13.683,-11.403
2024-01-01 00:01:00,0.000,0.000,0.000,-17.490,-11.832,-8.456
2024-01-01 00:02:00,0.000,0.000,0.000,-11.362,-15.470,-14.950
2024-01-01 00:03:00,0.000,0.000,0.000,-16.837,-13.643,-10.570
2024-01-01 00:04:00,0.000,0.000,0.000,-14.646,-12.423,-12.877
2024-01-01 00:05:00,0.000,0.000,0.000,-9.916,-8.194,-14.222
2024-01-01 00:06:00,0.000,0.000,0.000,-13.428,-11.865,-14.631
2024-01-01 00:07:00,0.000,0.000,0.000,-13.835,-10.303,-13.607
2024-01-01 00:08:00,0.000,0.000,0.000,-15.950,-15.996,-11.664
2024-01-01 00:09:00,0.000,0.000,0.000,-15.046,-14.317,-12.650
2024-01-01 00:10:00,0.000,0.000,0.000,-12.039,-12.974,-14.327
2024-01-01 00:11:00,0.000,0.000,0.000,-9.763,-12.827,-15.764
2024-01-01 00:12:00,0.000,0.000,0.000,-11.559,-15.883,-14.940
2024-01-01 00:13:00,0.000,0.000,0.000,-13.581,-16.504,-14.231
2024-01-01 00:14:00,0.000,0.000,0.000,-16.247,-11.428,-19.517
2024-01-01 00:15:00,0.000,0.000,0.000,-11.164,-11.613,-17.135
2024-01-01 00:16:00,0.000,0.000,0.000,-13.185,-10.679,-16.769
2024-01-01 00:17:00,0.000,0.000,0.000,-14.425,-11.317,-16.194
2024-01-01 00:18:00,0.000,0.000,0.000,-14.091,-14.249,-18.009
2024-01-01 00:19:00,0.000,0.000,0.000,-9.932,-16.354,-17.454
2024-01-01 00:20:00,0.000,0.000,0.000,-13.342,-12.414,-17.594
2024-01-01 00:21:00,0.000,0.000,0.000,-13.571,-12.776,-13.770
2024-01-01 00:22:00,0.000,0.000,0.000,-16.615,-11.882,-20.090
2024-01-01 00:23:00,0.000,0.000,0.000,-14.417,-9.328,-8.981
2024-01-01 00:24:00,0.000,0.000,0.000,-14.685,-14.060,-11.983
2024-01-01 00:25:00,0.000,0.000,0.000,-16.828,-12.055,-9.828
2024-01-01 00:26:00,0.000,0.000,0.000,-14.886,-13.248,-14.194
2024-01-01 00:27:00,0.000,0.000,0.000,-14.010,-14.587,-10.774
2024-01-01 00:28:00,0.000,0.000,0.000,-16.892,-14.635,-13.098
2024-01-01 00:29:00,0.000,0.000,0.000,-15.192,-18.788,-17.357
2024-01-01 00:30:00,0.000,0.000,0.000,-14.478,-14.101,-16.442
