timestamp,BESSMariaElena,Datacenter0,Datacenter1,Datacenter2,PECalama,PEValleDeLosVientos,PFVAzabache,PFVJama,PFVSanPedro,PFVUsya,SECahuachi,SECalama,SEChuquicamata,SEDerivacion,SEIca,SEJama,SELasana,SEMariaElena,SENuevaChuquicamata,SESalar,SEValleDeLosVientos
2024-01-01 00:00:00,5.0,-2.803,-7.007,-4.204,10.665,8.23,0.0,0.0,0.0,0.0,0.0,8.35,16.699,0.0,0.0,-0.571,-1.221,0.0,8.35,8.35,7.38
2024-01-01 00:01:00,4.962,-2.844,-7.11,-4.266,10.853,8.344,0.0,0.0,0.0,0.0,0.0,9.182,18.364,0.0,0.0,-0.103,-0.939,0.0,9.182,9.182,7.747
2024-01-01 00:02:00,4.924,-2.806,-7.014,-4.208,11.26,8.361,0.0,0.0,0.0,0.0,0.0,9.188,18.377,0.0,0.0,-0.793,-1.646,0.0,9.188,9.188,7.898
2024-01-01 00:03:00,4.886,-2.846,-7.114,-4.268,11.546,8.402,0.0,0.0,0.0,0.0,0.0,10.162,20.323,0.0,0.0,-0.202,-0.568,0.0,10.162,10.162,8.167
2024-01-01 00:04:00,4.848,-2.836,-7.089,-4.253,10.868,8.6,0.0,0.0,0.0,0.0,0.0,7.416,14.831,0.0,0.0,-0.775,-1.605,0.0,7.416,7.416,8.244
2024-01-01 00:05:00,4.81,-2.802,-7.006,-4.204,11.516,8.226,0.0,0.0,0.0,0.0,0.0,10.247,20.493,0.0,0.0,-0.09,-0.561,0.0,10.247,10.247,7.622
2024-01-01 00:06:00,4.772,-2.809,-7.021,-4.213,10.697,7.908,0.0,0.0,0.0,0.0,0.0,7.693,15.385,0.0,0.0,-0.495,-1.174,0.0,7.693,7.693,7.116
2024-01-01 00:07:00,4.733,-2.828,-7.069,-4.241,11.495,8.026,0.0,0.0,0.0,0.0,0.0,10.478,20.955,0.0,0.0,-0.409,-0.475,0.0,10.478,10.478,7.981
2024-01-01 00:08:00,4.695,-2.819,-7.047,-4.228,10.96,7.954,0.0,0.0,0.0,0.0,0.0,9.033,18.066,0.0,0.0,-0.431,-0.709,0.0,9.033,9.033,7.536
2024-01-01 00:09:00,4.656,-2.819,-7.048,-4.229,10.829,7.775,0.0,0.0,0.0,0.0,0.0,8.206,16.413,0.0,0.0,-0.194,-0.658,0.0,8.206,8.206,7.335
2024-01-01 00:10:00,4.617,-2.834,-7.084,-4.251,11.563,8.065,0.0,0.0,0.0,0.0,0.0,10.102,20.204,0.0,0.0,-0.725,-1.056,0.0,10.102,10.102,7.77
2024-01-01 00:11:00,4.579,-2.866,-7.166,-4.3,11.321,8.073,0.0,0.0,0.0,0.0,0.0,8.143,16.286,0.0,0.0,-0.887,-1.837,0.0,8.143,8.143,7.8
2024-01-01 00:12:00,4.54,-2.826,-7.065,-4.239,11.596,8.259,0.0,0.0,0.0,0.0,0.0,9.65,19.301,0.0,0.0,-0.113,-0.609,0.0,9.65,9.65,8.012
2024-01-01 00:13:00,4.501,-2.848,-7.12,-4.272,10.628,8.416,0.0,0.0,0.0,0.0,0.0,7.211,14.422,0.0,0.0,-0.839,-1.631,0.0,7.211,7.211,8.212
2024-01-01 00:14:00,4.462,-2.877,-7.194,-4.316,11.338,8.4,0.0,0.0,0.0,0.0,0.0,8.724,17.447,0.0,0.0,-0.689,-1.048,0.0,8.724,8.724,8.127
2024-01-01 00:15:00,4.423,-2.843,-7.108,-4.265,10.615,8.6,0.0,0.0,0.0,0.0,0.0,8.372,16.745,0.0,0.0,-0.961,-1.217,0.0,8.372,8.372,7.953
2024-01-01 00:16:00,4.384,-2.869,-7.173,-4.304,11.381,8.14,0.0,0.0,0.0,0.0,0.0,10.618,21.236,0.0,0.0,-0.259,-0.353,0.0,10.618,10.618,7.442
