timestamp,PECalama,PEValleDeLosVientos,PFVAzabache,PFVJama,PFVSanPedro,PFVUsya
2024-01-01 00:00:00,13.197,9.975,0.000,0.000,0.000,0.000
2024-01-01 00:01:00,11.356,9.240,0.000,0.000,0.000,0.000
2024-01-01 00:02:00,11.482,8.999,0.000,0.000,0.000,0.000
2024-01-01 00:03:00,15.866,9.789,0.000,0.000,0.000,0.000
2024-01-01 00:04:00,13.163,11.117,0.000,0.000,0.000,0.000
2024-01-01 00:05:00,13.611,10.386,0.000,0.000,0.000,0.000
2024-01-01 00:06:00,11.832,8.111,0.000,0.000,0.000,0.000
2024-01-01 00:07:00,13.581,10.680,0.000,0.000,0.000,0.000
2024-01-01 00:08:00,13.090,9.419,0.000,0.000,0.000,0.000
2024-01-01 00:09:00,10.706,11.008,0.000,0.000,0.000,0.000
2024-01-01 00:10:00,12.114,7.005,0.000,0.000,0.000,0.000
2024-01-01 00:11:00,11.042,8.040,0.000,0.000,0.000,0.000
2024-01-01 00:12:00,12.623,8.885,0.000,0.000,0.000,0.000
2024-01-01 00:13:00,13.337,9.269,0.000,0.000,0.000,0.000
2024-01-01 00:14:00,11.726,9.463,0.000,0.000,0.000,0.000
2024-01-01 00:15:00,11.541,9.357,0.000,0.000,0.000,0.000
2024-01-01 00:16:00,13.114,9.769,0.000,0.000,0.000,0.000
2024-01-01 00:17:00,10.971,8.124,0.000,0.000,0.000,0.000
2024-01-01 00:18:00,11.406,9.382,0.000,0.000,0.000,0.000
2024-01-01 00:19:00,15.142,9.725,0.000,0.000,0.000,0.000
2024-01-01 00:20:00,13.888,10.364,0.000,0.000,0.000,0.000
2024-01-01 00:21:00,11.317,9.729,0.000,0.000,0.000,0.000
2024-01-01 00:22:00,11.941,8.148,0.000,0.000,0.000,0.000
2024-01-01 00:23:00,12.686,9.069,0.000,0.000,0.000,0.000
2024-01-01 00:24:00,14.208,9.045,0.000,0.000,0.000,0.000
2024-01-01 00:25:00,13.348,10.235,0.000,0.000,0.000,0.000
2024-01-01 00:26:00,11.314,10.046,0.000,0.000,0.000,0.000
2024-01-01 00:27:00,14.882,7.730,0.000,0.000,0.000,0.000
2024-01-01 00:28:00,13.582,11.837,0.000,0.000,0.000,0.000
2024-01-01 00:29:00,11.677,9.181,0.000,0.000,0.000,0.000
2024-01-01 00:30:00,10.467,10.289,0.000,0.000,0.000,0.000
2024-01-01 00:31:00,13.432,10.727,0.001,0.000,0.000,0.000
2024-01-01 00:32:00,14.008,8.642,0.001,0.000,0.000,0.000
2024-01-01 00:33:00,13.842,7.731,0.001,0.000,0.000,0.000
2024-01-01 00:34:00,14.617,11.630,0.001,0.000,0.000,0.000
2024-01-01 00:35:00,13.508,9.291,0.001,0.000,0.000,0.000
2024-01-01 00:36:00,12.715,10.134,0.001,0.000,0.000,0.000
2024-01-01 00:37:00,12.580,9.568,0.001,0.000,0.000,0.000
2024-01-01 00:38:00,13.573,10.472,0.001,0.000,0.000,0.000
2024-01-01 00:39:00,12.599,8.315,0.001,0.000,0.000,0.000
2024-01-01 00:40:00,11.573,9.430,0.001,0.000,0.000,0.000
2024-01-01 00:41:00,12.468,9.899,0.001,0.000,0.000,0.000
2024-01-01 00:42:00,11.573,9.966,0.001,0.000,0.000,0.000
2024-01-01 00:43:00,14.123,8.521,0.001,0.000,0.000,0.000
2024-01-01 00:44:00,13.910,9.549,0.001,0.000,0.000,0.000
2024-01-01 00:45:00,12.305,9.300,0.001,0.000,0.000,0.000
2024-01-01 00:46:00,9.801,9.834,0.001,0.000,0.000,0.000
2024-01-01 00:47:00,13.478,9.743,0.001,0.000,0.000,0.000
2024-01-01 00:48:00,12.640,10.648,0.001,0.000,0.000,0.000
2024-01-01 00:49:00,12.750,9.217,0.001,0.000,0.000,0.000
2024-01-01 00:50:00,11.199,9.831,0.001,0.000,0.000,0.000
2024-01-01 00:51:00,13.413,9.963,0.001,0.000,0.000,0.000
2024-01-01 00:52:00,13.824,10.751,0.001,0.000,0.000,0.000
2024-01-01 00:53:00,14.616,10.491,0.001,0.000,0.000,0.000
2024-01-01 00:54:00,11.954,9.867,0.001,0.000,0.000,0.000
2024-01-01 00:55:00,11.140,10.119,0.001,0.000,0.000,0.000
2024-01-01 00:56:00,12.604,9.488,0.001,0.000,0.000,0.000
2024-01-01 00:57:00,10.659,10.416,0.001,0.000,0.000,0.000
2024-01-01 00:58:00,11.783,9.810,0.001,0.000,0.000,0.000
2024-01-01 00:59:00,14.228,7.534,0.001,0.000,0.000,0.000
2024-01-01 01:00:00,11.535,8.122,0.001,0.000,0.000,0.000
2024-01-01 01:01:00,12.861,11.537,0.001,0.000,0.000,0.000
2024-01-01 01:02:00,12.193,10.576,0.001,0.000,0.000,0.000
2024-01-01 01:03:00,12.624,7.663,0.001,0.000,0.000,0.000
2024-01-01 01:04:00,13.237,9.366,0.001,0.000,0.000,0.000
2024-01-01 01:05:00,11.418,8.306,0.001,0.000,0.000,0.000
2024-01-01 01:06:00,16.035,9.638,0.001,0.000,0.000,0.000
2024-01-01 01:07:00,11.447,9.796,0.001,0.000,0.000,0.000
2024-01-01 01:08:00,14.198,10.079,0.001,0.000,0.000,0.000
2024-01-01 01:09:00,12.995,7.903,0.001,0.000,0.000,0.000
2024-01-01 01:10:00,11.302,10.922,0.001,0.000,0.000,0.000
2024-01-01 01:11:00,11.625,9.599,0.001,0.000,0.000,0.000
2024-01-01 01:12:00,13.251,9.765,0.001,0.000,0.000,0.000
2024-01-01 01:13:00,11.841,9.514,0.001,0.000,0.000,0.000
2024-01-01 01:14:00,14.213,9.742,0.001,0.000,0.000,0.000
2024-01-01 01:15:00,14.194,10.379,0.001,0.000,0.000,0.000
2024-01-01 01:16:00,13.182,10.457,0.002,0.000,0.000,0.000
2024-01-01 01:17:00,14.288,10.747,0.002,0.000,0.000,0.000
2024-01-01 01:18:00,9.883,9.147,0.002,0.000,0.000,0.000
2024-01-01 01:19:00,13.095,10.874,0.002,0.000,0.000,0.000
2024-01-01 01:20:00,13.414,10.464,0.002,0.000,0.000,0.000
2024-01-01 01:21:00,14.229,8.107,0.002,0.000,0.000,0.000
2024-01-01 01:22:00,13.483,10.569,0.002,0.000,0.000,0.000
2024-01-01 01:23:00,13.674,10.488,0.002,0.000,0.000,0.000
2024-01-01 01:24:00,11.022,10.084,0.002,0.000,0.000,0.000
2024-01-01 01:25:00,14.616,10.343,0.002,0.000,0.000,0.000
2024-01-01 01:26:00,13.208,10.418,0.002,0.000,0.000,0.000
2024-01-01 01:27:00,11.955,8.774,0.002,0.000,0.000,0.000
2024-01-01 01:28:00,12.489,12.624,0.002,0.000,0.000,0.000
2024-01-01 01:29:00,12.118,8.203,0.002,0.000,0.000,0.000
2024-01-01 01:30:00,11.845,8.197,0.002,0.000,0.000,0.000
2024-01-01 01:31:00,14.288,7.998,0.002,0.000,0.000,0.000
2024-01-01 01:32:00,12.373,8.603,0.002,0.000,0.000,0.000
2024-01-01 01:33:00,12.174,9.990,0.002,0.000,0.000,0.000
2024-01-01 01:34:00,14.761,8.513,0.002,0.000,0.000,0.000
2024-01-01 01:35:00,12.117,9.859,0.002,0.000,0.000,0.000
2024-01-01 01:36:00,13.143,10.301,0.002,0.000,0.000,0.000
2024-01-01 01:37:00,14.442,10.329,0.002,0.000,0.000,0.000
2024-01-01 01:38:00,12.585,9.220,0.003,0.000,0.000,0.000
2024-01-01 01:39:00,14.738,11.049,0.003,0.000,0.000,0.000
2024-01-01 01:40:00,12.056,7.958,0.003,0.000,0.000,0.000
2024-01-01 01:41:00,13.345,10.187,0.003,0.000,0.000,0.000
2024-01-01 01:42:00,13.326,9.866,0.003,0.000,0.000,0.000
2024-01-01 01:43:00,9.736,10.863,0.003,0.000,0.000,0.000
2024-01-01 01:44:00,9.692,10.159,0.003,0.000,0.000,0.000
2024-01-01 01:45:00,11.957,10.047,0.003,0.000,0.000,0.000
2024-01-01 01:46:00,14.619,7.872,0.003,0.000,0.000,0.000
2024-01-01 01:47:00,11.949,9.081,0.003,0.000,0.000,0.000
2024-01-01 01:48:00,14.120,9.426,0.003,0.000,0.000,0.000
2024-01-01 01:49:00,11.411,9.772,0.003,0.000,0.000,0.000
2024-01-01 01:50:00,11.496,8.581,0.003,0.000,0.000,0.000
2024-01-01 01:51:00,13.789,10.987,0.003,0.000,0.000,0.000
2024-01-01 01:52:00,11.528,9.931,0.003,0.000,0.000,0.000
2024-01-01 01:53:00,12.084,10.125,0.004,0.000,0.000,0.000
2024-01-01 01:54:00,13.911,10.768,0.004,0.000,0.000,0.000
2024-01-01 01:55:00,13.188,9.121,0.004,0.000,0.000,0.000
2024-01-01 01:56:00,15.290,10.325,0.004,0.000,0.000,0.000
2024-01-01 01:57:00,11.912,9.725,0.004,0.000,0.000,0.000
2024-01-01 01:58:00,11.770,11.191,0.004,0.000,0.000,0.000
2024-01-01 01:59:00,13.881,9.000,0.004,0.000,0.000,0.000
2024-01-01 02:00:00,11.533,9.704,0.004,0.000,0.000,0.000
2024-01-01 02:01:00,13.394,9.970,0.004,0.000,0.000,0.000
2024-01-01 02:02:00,12.611,9.570,0.004,0.000,0.000,0.000
2024-01-01 02:03:00,11.950,10.041,0.004,0.000,0.000,0.000
2024-01-01 02:04:00,13.944,10.667,0.005,0.000,0.000,0.000
2024-01-01 02:05:00,12.598,10.413,0.005,0.000,0.000,0.000
2024-01-01 02:06:00,13.885,9.850,0.005,0.000,0.000,0.000
2024-01-01 02:07:00,14.568,7.253,0.005,0.000,0.000,0.000
2024-01-01 02:08:00,11.685,10.615,0.005,0.000,0.000,0.000
2024-01-01 02:09:00,11.591,9.822,0.005,0.000,0.000,0.000
2024-01-01 02:10:00,11.856,9.714,0.005,0.000,0.000,0.000
2024-01-01 02:11:00,11.923,10.755,0.005,0.000,0.000,0.000
2024-01-01 02:12:00,11.258,9.927,0.005,0.000,0.000,0.000
2024-01-01 02:13:00,14.131,10.338,0.005,0.000,0.000,0.000
2024-01-01 02:14:00,12.152,11.124,0.006,0.000,0.000,0.000
2024-01-01 02:15:00,13.185,9.439,0.006,0.000,0.000,0.000
2024-01-01 02:16:00,10.650,8.629,0.006,0.000,0.000,0.000
2024-01-01 02:17:00,10.621,9.761,0.006,0.000,0.000,0.000
2024-01-01 02:18:00,13.396,10.282,0.006,0.000,0.000,0.000
2024-01-01 02:19:00,12.164,10.709,0.006,0.000,0.000,0.000
2024-01-01 02:20:00,11.576,10.562,0.006,0.000,0.000,0.000
2024-01-01 02:21:00,12.836,9.198,0.007,0.000,0.000,0.000
2024-01-01 02:22:00,12.111,7.806,0.007,0.000,0.000,0.000
2024-01-01 02:23:00,13.540,9.408,0.007,0.000,0.000,0.000
2024-01-01 02:24:00,15.081,12.054,0.007,0.000,0.000,0.000
2024-01-01 02:25:00,13.686,9.714,0.007,0.000,0.000,0.000
2024-01-01 02:26:00,11.377,10.418,0.007,0.000,0.000,0.000
2024-01-01 02:27:00,13.524,9.494,0.007,0.000,0.000,0.000
2024-01-01 02:28:00,14.824,9.485,0.008,0.000,0.000,0.000
2024-01-01 02:29:00,13.239,9.017,0.008,0.000,0.000,0.000
2024-01-01 02:30:00,14.225,9.633,0.008,0.000,0.000,0.000
2024-01-01 02:31:00,15.250,9.819,0.008,0.000,0.000,0.000
2024-01-01 02:32:00,14.615,9.308,0.008,0.000,0.000,0.000
2024-01-01 02:33:00,12.051,10.077,0.008,0.000,0.000,0.000
2024-01-01 02:34:00,13.784,8.672,0.009,0.000,0.000,0.000
2024-01-01 02:35:00,13.080,11.633,0.009,0.000,0.000,0.000
2024-01-01 02:36:00,11.406,8.132,0.009,0.000,0.000,0.000
2024-01-01 02:37:00,13.971,9.967,0.009,0.000,0.000,0.000
2024-01-01 02:38:00,14.461,10.335,0.009,0.000,0.000,0.000
2024-01-01 02:39:00,13.704,10.196,0.010,0.000,0.000,0.000
2024-01-01 02:40:00,12.242,9.896,0.010,0.000,0.000,0.000
2024-01-01 02:41:00,12.774,11.438,0.010,0.000,0.000,0.000
2024-01-01 02:42:00,13.327,10.817,0.010,0.000,0.000,0.000
2024-01-01 02:43:00,11.309,7.804,0.010,0.000,0.000,0.000
2024-01-01 02:44:00,11.883,10.226,0.011,0.000,0.000,0.000
2024-01-01 02:45:00,11.787,9.977,0.011,0.000,0.000,0.000
2024-01-01 02:46:00,13.242,9.072,0.011,0.000,0.000,0.000
2024-01-01 02:47:00,14.068,11.592,0.011,0.000,0.000,0.000
2024-01-01 02:48:00,13.490,11.764,0.012,0.000,0.000,0.000
2024-01-01 02:49:00,11.682,9.862,0.012,0.000,0.000,0.000
2024-01-01 02:50:00,13.257,10.596,0.012,0.000,0.000,0.000
2024-01-01 02:51:00,13.270,10.071,0.012,0.000,0.000,0.000
2024-01-01 02:52:00,14.222,9.297,0.013,0.000,0.000,0.000
2024-01-01 02:53:00,12.831,9.267,0.013,0.000,0.000,0.000
2024-01-01 02:54:00,11.843,9.944,0.013,0.000,0.000,0.000
2024-01-01 02:55:00,11.340,8.406,0.013,0.000,0.000,0.001
2024-01-01 02:56:00,11.800,8.390,0.014,0.000,0.000,0.001
2024-01-01 02:57:00,14.969,9.833,0.014,0.000,0.000,0.001
