timestamp,CAH-DER-0,CAH-DER-1,CAL-NCH,CAL-SAL,DER-ICA,JAM-LAS,LAS-CAL,NCH-CHU,SAL-CHU,VLV-CAL
2024-01-01 00:00:00,8.428,8.634,-10.855,-10.389,15.764,1.048,-0.770,-6.778,-6.558,-11.273
2024-01-01 00:01:00,7.171,6.656,-7.214,-6.659,17.004,0.499,1.737,-8.996,-10.638,-7.123
2024-01-01 00:02:00,7.067,6.337,-8.868,-10.134,11.735,0.576,-1.281,-9.590,-9.706,-11.793
2024-01-01 00:03:00,8.225,7.154,-8.910,-11.359,17.538,-0.442,0.886,-9.822,-6.797,-9.989
2024-01-01 00:04:00,7.365,8.155,-7.567,-11.026,10.387,-0.449,2.813,-10.016,-8.527,-9.000
2024-01-01 00:05:00,8.851,7.586,-8.062,-10.221,15.512,-0.671,-1.079,-9.502,-12.157,-7.980
2024-01-01 00:06:00,8.293,7.137,-9.405,-9.750,15.474,0.696,1.142,-7.057,-9.676,-14.586
2024-01-01 00:07:00,8.844,6.977,-9.852,-6.897,16.861,0.440,3.092,-11.687,-9.422,-12.617
2024-01-01 00:08:00,6.298,7.626,-10.288,-11.570,13.304,-0.626,-0.047,-11.461,-8.377,-8.642
2024-01-01 00:09:00,7.097,7.325,-8.052,-8.521,17.748,-1.819,0.555,-7.031,-9.510,-11.274
2024-01-01 00:10:00,5.626,8.016,-10.301,-10.343,12.983,1.889,-0.590,-8.201,-8.226,-9.713
2024-01-01 00:11:00,7.365,7.577,-9.411,-10.518,13.939,-1.568,-0.528,-6.920,-8.316,-8.869
2024-01-01 00:12:00,8.158,6.655,-11.129,-8.127,17.035,0.206,0.559,-9.773,-9.428,-11.778
2024-01-01 00:13:00,8.428,7.391,-5.148,-9.148,20.234,1.561,-0.811,-8.688,-11.093,-10.797
2024-01-01 00:14:00,6.367,7.594,-9.128,-10.981,14.357,2.157,0.190,-8.359,-7.689,-10.423
2024-01-01 00:15:00,7.801,8.310,-9.399,-10.639,16.618,0.201,0.349,-11.901,-9.329,-10.503
2024-01-01 00:16:00,9.046,8.979,-9.502,-8.987,12.847,-0.973,0.388,-10.123,-7.193,-12.798
2024-01-01 00:17:00,9.004,7.238,-8.816,-7.837,16.937,0.368,-1.194,-11.042,-9.682,-10.092
2024-01-01 00:18:00,7.622,7.434,-9.259,-8.984,14.747,-0.397,2.154,-11.164,-9.434,-9.509
2024-01-01 00:19:00,6.793,6.152,-7.467,-10.587,14.355,-0.681,1.181,-8.574,-8.117,-10.798
2024-01-01 00:20:00,8.511,7.857,-9.626,-10.583,17.488,-0.645,0.233,-3.869,-7.682,-12.087
2024-01-01 00:21:00,9.255,7.671,-9.025,-9.063,15.726,0.196,0.081,-10.435,-11.674,-9.648
2024-01-01 00:22:00,4.436,7.746,-11.417,-7.838,17.595,-1.697,0.572,-9.550,-9.386,-11.109
2024-01-01 00:23:00,8.408,8.736,-8.742,-8.467,16.951,-2.048,1.308,-10.059,-9.721,-10.143
2024-01-01 00:24:00,6.736,7.841,-8.131,-9.066,15.816,1.328,0.349,-10.855,-9.173,-11.134
2024-01-01 00:25:00,7.065,6.973,-7.813,-8.319,16.734,0.532,0.933,-10.717,-6.567,-8.688
2024-01-01 00:26:00,6.183,7.445,-8.056,-8.034,18.387,-0.265,-2.254,-8.822,-11.032,-10.968
2024-01-01 00:27:00,8.209,6.807,-8.974,-5.493,15.259,0.189,-0.480,-10.601,-6.979,-9.071
