timestamp,CAH-DER-0,CAH-DER-1,CAL-NCH,CAL-SAL,DER-ICA,JAM-LAS,LAS-CAL,NCH-CHU,SAL-CHU,VLV-CAL
2024-01-01 00:00:00,-6.430,-7.647,9.299,11.604,13.138,-0.180,3.033,12.412,13.396,9.994
2024-01-01 00:01:00,-6.909,-7.515,10.384,9.910,15.334,-0.746,-0.231,9.776,11.822,7.560
2024-01-01 00:02:00,-8.200,-6.817,10.158,11.932,15.748,-1.021,-1.029,8.981,9.074,7.463
2024-01-01 00:03:00,-7.715,-5.330,8.921,5.648,11.635,-0.362,0.573,11.460,11.682,7.613
2024-01-01 00:04:00,-8.404,-6.893,10.500,10.189,12.904,0.502,0.627,12.519,7.698,9.611
2024-01-01 00:05:00,-7.041,-8.101,8.956,8.980,15.894,-0.373,1.953,13.230,9.301,7.728
2024-01-01 00:06:00,-6.288,-6.622,9.101,10.858,12.772,0.172,0.166,8.425,12.524,10.982
2024-01-01 00:07:00,-6.919,-5.613,12.147,9.381,13.244,1.338,-1.854,8.772,10.911,9.208
2024-01-01 00:08:00,-9.201,-7.998,11.952,10.168,11.169,1.505,-0.868,7.726,9.104,9.092
2024-01-01 00:09:00,-7.468,-7.115,8.441,7.409,14.451,0.235,3.148,8.575,9.768,9.350
2024-01-01 00:10:00,-4.634,-7.125,10.739,12.622,12.244,0.081,0.993,10.252,9.635,9.064
2024-01-01 00:11:00,-8.476,-7.009,12.219,10.339,13.824,0.059,1.743,9.722,13.061,5.908
2024-01-01 00:12:00,-7.443,-6.563,13.040,7.700,13.632,0.388,1.714,9.515,11.119,7.056
2024-01-01 00:13:00,-5.867,-5.256,11.047,9.530,15.577,-2.224,-1.382,11.251,7.536,6.089
2024-01-01 00:14:00,-8.702,-6.601,10.609,9.747,16.279,0.185,0.986,7.311,11.091,10.999
2024-01-01 00:15:00,-6.359,-8.319,10.220,12.647,12.762,-0.366,0.085,10.434,11.347,10.112
2024-01-01 00:16:00,-7.250,-7.303,10.524,10.150,14.171,0.406,0.666,13.327,6.285,8.501
2024-01-01 00:17:00,-6.291,-7.596,9.409,10.159,18.700,0.976,-0.592,11.862,9.884,8.794
2024-01-01 00:18:00,-6.746,-7.006,9.340,10.523,13.846,-1.013,-1.155,8.553,9.151,9.232
2024-01-01 00:19:00,-7.206,-7.495,10.638,10.635,17.072,1.424,2.739,11.372,6.790,6.903
2024-01-01 00:20:00,-9.492,-7.576,13.380,12.084,13.953,1.388,-0.888,12.184,9.077,9.544
2024-01-01 00:21:00,-7.866,-8.124,11.506,9.794,14.967,-1.024,0.694,12.126,10.939,9.121
2024-01-01 00:22:00,-7.872,-5.176,9.959,7.712,14.197,-0.731,-0.064,10.768,11.247,10.039
2024-01-01 00:23:00,-8.489,-7.999,12.340,6.904,13.057,0.702,-2.016,10.354,10.785,7.290
2024-01-01 00:24:00,-6.583,-8.395,10.976,10.824,17.016,0.286,1.774,10.274,9.571,10.590
2024-01-01 00:25:00,-7.018,-7.144,10.348,11.049,13.542,0.300,0.871,8.801,13.095,8.655
2024-01-01 00:26:00,-7.608,-9.157,10.505,7.377,13.097,-0.458,0.632,8.414,9.867,6.646
2024-01-01 00:27:00,-8.633,-7.721,10.799,11.685,14.101,1.514,-1.086,11.640,12.370,10.323
2024-01-01 00:28:00,-6.054,-8.784,10.324,9.841,11.087,0.228,1.457,9.479,11.366,7.769
2024-01-01 00:29:00,-6.909,-9.432,8.642,10.690,13.820,1.857,-0.842,13.263,8.976,9.919
2024-01-01 00:30:00,-7.167,-7.624,9.549,11.706,16.770,0.492,0.071,10.385,10.651,9.894
2024-01-01 00:31:00,-7.431,-6.959,13.102,10.672,11.227,1.163,-2.460,8.246,8.972,11.308
2024-01-01 00:32:00,-7.145,-7.413,8.952,8.326,12.541,-0.023,-0.120,7.845,14.418,11.647
2024-01-01 00:33:00,-6.296,-6.632,11.226,7.739,13.150,1.504,-1.306,12.229,8.248,8.356
2024-01-01 00:34:00,-7.753,-8.171,7.819,12.058,10.242,-1.390,2.273,11.429,10.726,6.877
2024-01-01 00:35:00,-6.394,-4.834,8.461,10.814,15.281,-0.693,0.718,11.113,10.981,8.458
2024-01-01 00:36:00,-7.362,-7.858,11.486,11.467,14.770,0.786,-0.333,11.671,10.642,8.547
2024-01-01 00:37:00,-7.267,-7.510,8.895,10.178,14.540,-0.862,0.571,8.134,11.229,4.848
2024-01-01 00:38:00,-8.561,-5.629,8.500,10.567,13.851,0.675,1.545,10.212,11.009,8.078
2024-01-01 00:39:00,-7.178,-8.674,8.501,11.227,16.237,-0.307,-1.788,9.890,10.248,6.961
2024-01-01 00:40:00,-7.009,-6.580,11.137,9.021,14.744,-2.137,-1.275,10.373,10.819,8.694
2024-01-01 00:41:00,-7.013,-7.373,10.182,8.085,16.427,-0.480,-0.028,11.581,11.446,6.402
2024-01-01 00:42:00,-6.530,-7.063,9.304,11.889,14.103,0.136,-1.099,10.932,11.015,9.412
2024-01-01 00:43:00,-6.946,-8.592,11.049,12.500,18.337,-0.806,-0.995,10.298,10.271,10.953
2024-01-01 00:44:00,-7.238,-8.155,10.299,9.883,14.366,1.651,1.302,10.687,7.621,7.813
2024-01-01 00:45:00,-7.629,-8.191,9.775,9.215,13.779,-0.632,-1.449,8.662,9.597,9.332
2024-01-01 00:46:00,-7.427,-8.313,13.021,11.539,16.804,2.307,0.107,8.369,9.522,6.339
2024-01-01 00:47:00,-7.300,-6.723,11.924,9.233,15.951,0.450,1.640,5.738,11.513,8.360
2024-01-01 00:48:00,-7.148,-7.455,10.344,9.422,14.834,-0.263,0.179,8.356,9.289,8.465
2024-01-01 00:49:00,-7.989,-8.641,8.972,8.382,13.950,0.592,2.492,10.207,6.661,6.579
2024-01-01 00:50:00,-8.043,-7.276,9.594,10.480,18.104,-0.140,2.926,7.058,11.020,8.881
2024-01-01 00:51:00,-8.545,-7.582,10.119,12.475,15.473,0.557,-1.885,8.580,11.532,7.953
2024-01-01 00:52:00,-7.293,-5.602,10.842,9.719,17.692,1.012,1.805,9.817,10.015,6.132
2024-01-01 00:53:00,-6.651,-7.707,11.554,6.806,17.188,-1.007,-0.957,10.268,12.024,6.390
2024-01-01 00:54:00,-8.505,-6.842,7.122,9.031,12.193,0.896,0.043,12.970,7.267,10.638
2024-01-01 00:55:00,-7.673,-7.663,9.983,13.686,16.265,0.782,0.360,7.886,10.968,8.179
2024-01-01 00:56:00,-9.029,-6.343,8.748,11.393,14.594,-0.521,-2.516,9.728,6.517,4.840
2024-01-01 00:57:00,-8.493,-5.555,11.320,10.398,14.533,0.918,-0.238,5.074,15.062,7.153
2024-01-01 00:58:00,-6.267,-8.209,11.774,12.779,16.807,0.892,-1.208,8.760,11.700,8.515
2024-01-01 00:59:00,-7.817,-7.559,10.873,9.389,15.687,-0.829,0.389,10.661,8.702,7.508
2024-01-01 01:00:00,-6.217,-6.160,9.821,9.284,15.238,0.047,0.500,10.965,10.630,8.432
2024-01-01 01:01:00,-8.480,-6.284,10.237,10.213,15.488,-1.541,-0.347,7.879,9.911,4.879
2024-01-01 01:02:00,-7.472,-7.733,10.663,9.500,13.104,-0.897,-1.355,12.576,11.786,10.173
2024-01-01 01:03:00,-8.036,-8.101,11.200,13.620,15.511,0.909,-0.492,10.837,12.112,8.983
2024-01-01 01:04:00,-8.616,-9.038,10.499,9.799,12.854,0.659,-1.478,13.675,9.085,11.439
2024-01-01 01:05:00,-7.625,-6.834,10.941,10.555,17.521,0.457,-0.342,10.516,7.523,8.104
2024-01-01 01:06:00,-7.588,-5.538,12.207,11.985,15.939,-0.276,-1.701,6.088,11.014,7.732
2024-01-01 01:07:00,-7.142,-8.302,6.613,9.519,15.582,-0.206,-0.228,12.574,13.510,9.041
2024-01-01 01:08:00,-7.650,-8.388,11.198,7.714,19.230,0.679,0.592,9.960,11.099,8.888
2024-01-01 01:09:00,-8.990,-7.669,9.046,9.631,16.773,2.062,-2.292,6.764,12.092,9.344
2024-01-01 01:10:00,-8.468,-8.014,10.328,10.430,12.736,1.104,0.010,12.923,10.307,7.560
2024-01-01 01:11:00,-7.399,-7.719,12.362,8.779,12.756,0.603,-2.196,11.019,9.759,6.115
2024-01-01 01:12:00,-7.063,-8.236,9.398,8.850,17.384,-0.498,1.334,8.970,10.435,8.921
2024-01-01 01:13:00,-8.632,-9.335,8.516,9.558,15.771,0.059,0.393,9.400,11.870,9.859
2024-01-01 01:14:00,-7.311,-7.869,11.661,10.418,13.545,-0.999,1.087,10.998,9.791,8.563
2024-01-01 01:15:00,-8.463,-8.669,12.806,8.407,17.692,-1.060,0.654,8.686,7.589,10.445
2024-01-01 01:16:00,-7.281,-7.211,11.707,9.250,12.615,0.185,-0.319,12.038,13.871,7.256
2024-01-01 01:17:00,-9.119,-6.833,10.170,10.810,16.821,-0.370,-2.748,10.722,13.218,6.755
2024-01-01 01:18:00,-8.592,-7.758,10.982,9.703,20.037,0.693,-0.842,8.698,8.515,10.181
2024-01-01 01:19:00,-8.631,-8.991,11.084,12.086,15.143,-0.423,0.313,14.152,8.402,10.116
2024-01-01 01:20:00,-8.432,-8.410,10.136,10.353,18.115,-1.239,-0.432,9.516,8.636,9.380
2024-01-01 01:21:00,-9.050,-7.775,11.749,9.638,17.478,0.443,0.208,9.012,9.742,7.541
2024-01-01 01:22:00,-7.683,-8.730,10.589,10.692,16.362,-0.833,-0.766,8.353,10.684,6.697
2024-01-01 01:23:00,-6.948,-8.055,11.640,10.753,17.592,1.170,-1.407,9.204,9.616,9.718
2024-01-01 01:24:00,-7.939,-6.486,8.595,9.856,13.550,1.224,-0.963,10.557,13.026,8.653
2024-01-01 01:25:00,-6.093,-8.304,8.488,12.279,14.799,1.303,2.469,8.930,13.053,10.068
2024-01-01 01:26:00,-8.539,-9.008,8.909,9.440,16.144,0.015,-2.359,12.068,9.279,6.832
2024-01-01 01:27:00,-8.777,-8.051,8.074,9.634,17.908,0.963,-0.234,8.712,10.169,9.411
2024-01-01 01:28:00,-9.070,-6.789,9.707,10.312,17.525,1.170,2.002,10.587,10.217,8.860
2024-01-01 01:29:00,-9.516,-8.834,10.613,11.030,18.941,-0.959,0.773,13.087,8.268,9.530
2024-01-01 01:30:00,-8.398,-7.902,8.783,10.003,18.019,-1.703,-0.449,10.154,13.375,10.363
2024-01-01 01:31:00,-7.146,-7.975,8.912,10.825,10.392,0.786,0.141,13.381,9.839,7.024
